profile_name,caption,tags,,,
jessicalynnmartin_,"*****GIVEAWAY CLOSED**** // 🎉24h GIVEAWAY TIME 🎉‎I have teamed up w/ my friends @lyrefitness to give away 20 Leggings!‎That's right! There will be 20 Winners 😍💞 Usually sold for $60..but today, they're FREE.‎All you have to do to enter this giveaway is:👉follow me @jessicalynnmartin_ + @lyrefitness👉Tag 2 friends below (more tags = more chances to win!)👉DM @lyrefitness with ""I love leggings""‎After 24h, 20 people will be chosen as winners!‎Winners will receive a link by DM from @lyrefitness to choose their color, size and have it delivered directly to them! Hurry Up ⏰‎",#giveaway #giveawaycontest #fitness #swimwear #leggings #athletics #active #activewear,,,
jessicalynnmartin_,"My favorite book in the Bible has always been Psalm. It always encourages me and inspires me in my walk with Jesus. I love how it reminds us how real we can be with Jesus and talk to Him like a true friend. 💗 __________________________________________________When I look at your heavens, the work of your fingers, the moon and the stars, which you have set in place, what is man that you are mindful of him, and the son of man that you care for him? (Psalm 8:3-4)__________________________________________________What’s your favorite book in the Bible?",,,,
jessicalynnmartin_,"Happy birthday to my beautiful best friend @juliamichellegreen! We met in our college sorority 10 years ago! Julia immediately and I became good friends when we first met and because we had a lot in common.. and shortly after we became friends Julia encouraged me to pursue God like she was. I was at a very low point in my life when she did this so her ability to encourage me in walking into a real relationship with Christ meant everything! She was there the day when the Lord spoke into my heart and told me to come back to Him. Such a special moment! Jules, you’re love for Christ shines so bright and people are inspired by you everywhere you go by your joy and passion for Jesus! I am confident your the years ahead are going to be filled with so much joy and exciting blessings from the Lord. I can’t wait for all of our adventures ahead either as we step into whatever Jesus has!! Love you forever and always my sister!",,,,
jessicalynnmartin_,"Flashback to a few weeks ago when I got to go to Bend with all of my favorite people. The house we stayed at was in Sunriver and it was such an amazing time! Central Oregon will always feel like home, I feel so fortunate to have spent my childhood growing up in such a beautiful place 💗",,,,
jessicalynnmartin_,"I don’t know about any of you, but I’ve struggle with getting my daily dose of ACV in due to its bitter taste. Knowing the many benefits of ACV such as supporting gut health for a healthy digestion, supporting a healthy immune system, supporting a healthy weight and more, I was determined to find a way to keep in in my diet. I’m so thankful I found @goligummy 😍❤️ Just  Two of their gummies is the equivalent of one shot of ACV. Their product also contains “the mother” which is the name given to the good culture of healthy probiotic bacteria that is added to Apple cider in order to create a vinegar! It’s all the benefits, without the sour taste 😌😊",,,,
jessicalynnmartin_,"Truth be told, I took a break from doing photography for a couple of years, because I felt like that was what God wanted for me. I was in an extremely busy season adjusting to my new teaching job and I just felt overwhelmed doing it all. After second shooting weddings for a couple of years and working more “behind the scenes,” this summer I felt a nudge from God to start doing photography again! I want anything and everything I do to be fueled from God, because I know that He is going to be the one to give me the passion and drive to do the best possible job for my clients. He also makes me more creative...I mean God does everything! I just bought the Canon 5D Mark IV!!! Ahhh so excited 😍😍 feel free to follow along at @jessicamartinphoto 💗💗💗",,,,
jessicalynnmartin_,How did I discover selling sunset AFTER leaving LA? Disappointed in myself 😭💔😅,,,,
jessicalynnmartin_,"I used to be so terrified of stepping out of my comfort zone. But then God. His gentle, yet strong voice called me to greater things. Things I could have never accomplished on my own strength. I look back on my life, and I’m in awe of the deep seas He has brought me through. Today and everyday, I choose to keep stepping into the unknown with Jesus, my BFF, my confidant, the King of all Kings ❤️",,,,
jessicalynnmartin_,"Made it the top! When we were up high looking over Los Angeles, we felt led to pray over this city! We prayed that God would make Himself known to the lost in this place and that those who feel lonely and would be comforted by the hope of the Holy Spirit! God is faithful and I know I could never do this life without His presence! ❤️💕",,,,
jessicalynnmartin_,"Had the best weekend celebrating my momma’s birthday. Love her soooo much!!❤️❤️❤️ she has always been my best friend and biggest encourager... we always laugh together and have fun. If it weren’t for her I wouldn’t, be the person I am today. And she also was able to get my brother and I Italian citizenship which I’m so thankful for 🇮🇹 ",#italianmomma,,,
enerianna,posting this like I’m not just gonna eat a block of cheese around 2pm and call it breakfast 🧀,,,,
enerianna,"sorry I can’t talk, I’m doing hot girl shit (walking in the rain listening to Taylor Swift) 📸: @capriotti.jake",,,,
enerianna,what if I send out photos of just me for Christmas cards lmao🎄,,,,
enerianna,waiting at our getaway car,,,,
enerianna,walking in a winter wonderland❄️,,,,
enerianna,"a taurus and a gemini roller skate into a kitchen— I don’t have a punchline, that’s just what we did🛼",,,,
enerianna,not to be that person but...I SAID YES💜 so honored (haha) and excited to be my best friend’s maid of honor😭 ilysm @sealmyheart !!!!!!!!,,,,
enerianna,fall photo dump🍂 getting ready for the best time of the year🤩,,,,
